Core_Material,Size,Zeta_Potential,Tumor_Size,Tumor,Heart,Liver,Spleen,Lung,Kidney
Gold,TEM: 37.5,-18,100 mm3=0.1 cm3,1.64,0.4174,29.03,2.76,0.27,1.07
,,,,2.06,0.3728,31.7,3.05,0.41,1.22
,,,,2.01,0.1669,21.74,2.47,0.2,0.54
Gold,TEM: 44.7,0,100 mm3=0.1 cm3,0.96,,,,,
,,,,1.77,,,,,
,,,,1.79,,,,,
Gold,HD: 42,-5,,2.85,0.4866,8.89,0.58,0.7,2
,,,,4.28,0.3244,13.09,2.96,0.43,1.4
,,,,1.65,0.292,10.62,6.76,0.38,0.84
Gold,HD: 38.3,-5,,10.09,,,,,
,,,,4.1,,,,,
,,,,1.6,,,,,
Gold,TEM: 50; HD: 68.4,-9.3,100-250 = 0.175 cm3,0.45,0.2638,50.86,2.23,1.11,2.07
,,,,0.6,0.1814,45.46,2.17,0.71,1.83
,,,,2.32,0.4617,56.01,2.79,0.98,3.8
Gold,TEM: 15; HD: 49.5,-0.64,1-1.2 cm3,11.3,,,,,
,,,,13.35,,,,,
,,,,18.39,,,,,
,,,,26.03,,,,,
,,,,32.46,,,,,
,,,,22.88,,,,,
Gold,TEM: 30; HD: 60,-11,1-1.2 cm3,16.54,,,,,
,,,,21.87,,,,,
,,,,30.6,,,,,
,,,,34.3,,,,,
,,,,26.34,,,,,
,,,,14.64,,,,,
Gold,TEM: 60; HD: 100.4,-9,1-1.2 cm3,20.47,,,,,
,,,,28.38,,,,,
,,,,38.88,,,,,
,,,,28.86,,,,,
,,,,22.08,,,,,
,,,,9.64,,,,,
Gold,TEM: 15; HD: 46.3,-6.7,1-1.2 cm3,6.95,,,,,
,,,,10.35,,,,,
,,,,18.39,,,,,
,,,,21.27,,,,,
,,,,22.39,,,,,
,,,,16.9,,,,,
Gold,TEM: 30; HD: 64.2,-15,1-1.2 cm3,7.69,,,,,
,,,,10.84,,,,,
,,,,13.99,,,,,
,,,,16.6,,,,,
,,,,17.63,,,,,
,,,,10.96,,,,,
Gold,TEM: 60; HD: 104.2,-10,1-1.2 cm3,4.96,,,,,
,,,,8.19,,,,,
,,,,11.91,,,,,
,,,,14.17,,,,,
,,,,12.55,,,,,
,,,,9.64,,,,,
Gold,TEM: 100; HD: 175.6,-5,1-1.2 cm3,3.99,,,,,
,,,,8.19,,,,,
,,,,10.75,,,,,
,,,,11.42,,,,,
,,,,9.34,,,,,
,,,,4.92,,,,,
Gold,TEM: 100; HD: 166,-6,1-1.2 cm3,5.89,,,,,
,,,,6.29,,,,,
,,,,4.79,,,,,
,,,,5.18,,,,,
,,,,5.27,,,,,
,,,,4.24,,,,,
Gold,TEM: 2.56; HD: 6.07,,75 = 0.075 cm3,0.62,,,,,
,,,,0.85,,,,,
,,,,1.11,,,,,
,,,,1.34,,,,,
,,,,1.37,,,,,
Gold,TEM: 27.3,,300 = 0.3 cm3,0.14,0.4519,1.23,0.61,0.7,0.3
,,,,0.44,0.3496,1.82,1.49,0.45,0.21
,,,,0.12,0.2046,2.14,1.4,0.49,0.16
,,,,0.09,0.2217,1.82,1.33,1.16,0.32
,,,,0.02,0.1449,2.27,4.04,1.6,0.16
Gold,TEM: 16; HD: 17.1,-9.8,100 = 0.1 cm3,1.72,,,,,
,,,,1.18,,,,,
,,,,0.97,,,,,
Gold,TEM: 16; HD: 31,-10.5,100 = 0.1 cm3,0.95,,,,,
,,,,0.53,,,,,
,,,,0.28,,,,,
Gold,TEM: 7.8; HD: 24.1,-21.3,150-200 = 0.15-0.2 cm3,1.17,2.2153,21.95,0.98,0.35,2.06
,,,,1.8,1.8175,20.93,0.9,0.26,1.94
,,,,1.87,0.6976,15.85,0.71,0.2,1.2
,,,,1.74,0.3366,13,0.5,0.19,1.1
Gold,TEM: 7.8; HD: 25.8,21.7,150-200 = 0.15-0.2 cm3,0.5,1.7583,23.46,1.07,0.33,1.71
,,,,0.59,0.9283,21.45,0.84,0.28,1.51
,,,,0.81,0.3935,16.67,0.62,0.21,1.52
,,,,0.64,0.3873,14.89,0.58,0.19,1.23
Gold,TEM: 7.8; HD: 20.8,24.6,150-200 = 0.15-0.2 cm3,0.5,1.4097,24.79,0.99,0.16,1.19
,,,,0.63,0.9132,22.59,0.88,0.14,1.11
,,,,0.64,0.5577,18.3,0.69,0.07,1.11
,,,,0.53,0.3739,15.27,0.53,0.08,1.11
Gold,TEM: 7.8; HD: 18.2,25.4,150-200 = 0.15-0.2 cm3,0.43,0.8991,29.27,1.18,0.26,1.31
,,,,0.48,0.5656,27.56,1.01,0.26,1.18
,,,,0.51,0.3335,21.7,0.69,0.18,1.06
,,,,0.38,0.261,17.89,0.67,0.13,0.99
Gold,TEM: 2; HD: 6.1,-5,150-200 = 0.15-0.2 cm3,0.44,,,,,
,,,,0.34,,,,,
,,,,0.64,,,,,
,,,,1.21,,,,,
,,,,1.37,,,,,
,,,,2.86,,,,,
,,,,1.82,,,,,
,,,,1.47,,,,,
Gold,TEM: 56.8; HD: 69.8,0,100 mm3=0.1 cm3,0.2,0.4734,22.33,0.25,1.25,1.02
,,,,1.37,1.4424,36.16,0.3,1.59,2.23
,,,,2.79,0.3141,38.47,0.54,0.05,0.13
Gold,TEM: 49.6; HD: 111.3,0,100 mm3=0.1 cm3,0.12,0.2638,44.86,9.29,0.69,0.61
,,,,0.56,0.4073,52.34,10.33,0.63,0.53
,,,,0.87,0.2183,64.85,10.22,0.23,0.14
Gold,TEM: 92; HD: 130.5,0,100 mm3=0.1 cm3,0.15,0.4125,40.87,5.87,0.71,0.92
,,,,0.5,0.3076,57.73,7.85,1.04,0.57
,,,,0.55,0.0798,56.38,8.87,0.63,0.1
Gold,TEM: 39.2; HD: 77,0,100 mm3=0.1 cm3,0.15,0.2029,43.27,3.69,0.58,0.42
,,,,0.11,0.1081,59.17,4.76,0.41,0.05
,,,,0.22,0.0532,52.39,4.86,0.14,0.07
Gold,TEM: 2.3; HD: 5.5,0,180 = 0.18 cm3,1.73,0.5769,4.49,0.36,0.88,3.14
,,,,2.59,0.4166,3.39,0.27,0.85,2.55
,,,,5.18,0.1202,3.26,0.19,0.25,2.51
,,,,10.37,0.1122,3.84,0.25,0.17,2.48
Gold,TEM: 4.8; HD: 31,,7-8.5 mm ~ 300 mm3 = 0.3 cm3,1.2,,13.59,,,
,,,,2.29,,11.02,,,
,,,,2.37,,11.74,,,
,,,,2.4,,11.76,,,
,,,,2.39,,11.17,,,
,,,,2.28,,10.23,,,
Gold,TEM: 30.3; HD: 63.7,10.2,,0.94,0.7717,33.77,3.19,0.72,1.82
,,,,2.53,0.6941,38.47,3.7,0.75,1.91
,,,,2.77,0.1964,43.79,3.28,0.29,1.04
Gold,TEM: 54.5; HD: 96,18.7,,0.35,0.0793,43.03,5.07,0.16,0.49
,,,,0.41,0.0513,37.18,6.27,0.11,0.31
,,,,0.52,0.0467,18.38,4.44,0.12,0.33
Gold,TEM: 30; HD: 66.5,-2.6,~270 mm3 = 0.27 cm3,0.25,,6.91,0.65,,
,,,,0.98,,16.44,1.27,,
,,,,0.96,,29.13,5.44,,
Gold,TEM: 30; HD: 62.8,-27.1,~270 mm3 = 0.27 cm3,0.24,,8.94,0.62,,
,,,,1.06,,17.59,1.58,,
,,,,0.67,,34.9,6.37,,
Gold,TEM: 30; HD: 71.7,-2.9,~270 mm3 = 0.27 cm3,0.26,,2.88,0.43,,
,,,,0.71,,11.82,4.78,,
,,,,1.22,,31.15,7.02,,
Gold,TEM: 30; HD: 60.2,-10.6,~270 mm3 = 0.27 cm3,0.02,,15.57,2.36,,
,,,,0.02,,41.53,2.14,,
,,,,0.06,,51.33,1.65,,
Gold,TEM: 43; HD: 63,0,,0.12,0.2254,1.22,1.08,0.61,0.35
,,,,0.41,0.2213,2.62,3.77,0.32,0.21
,,,,0.52,0.0644,2.27,3.91,0.05,0.08
,,,,0.16,0.0845,5.42,17.11,0.05,0.16
Gold,TEM: 60.2; HD: 15,-10,50-100 = 0.05-0.1 cm3,0.75,0.6258,29.66,2.36,0.61,0.93
,,,,0.78,0.4867,37.87,6.54,0.27,1.15
,,,,1.1,0.2086,44.75,4.77,0.31,1.22
Gold,TEM: 60.5; HD: 15,-44.1,50-100 = 0.05-0.1 cm3,0.28,0.1031,73.31,13.12,0.3,0.42
,,,,0.28,0.3094,63.36,9.89,0.44,0.64
,,,,0.22,4.5e-15,55.25,8,0.3,0.64
Gold,TEM: 45; HD: 10,1.1,4.17 cm3,2.91,0.3427,4.54,0.13,0.27,0.29
,,,,13.84,0.1877,4.6,0.34,0.4,0.54
,,,,16.28,0.1877,9.51,0.47,0.37,0.49
,,,,9.17,0.0734,13.3,1.11,0.12,0.81
,,,,2.06,0.0653,10.44,1.72,0.04,0.45
Gold,TEM: 50; HD: 88.9,-27.1,4.17 cm3,0.92,0.3087,23.11,1.08,0.23,0.55
,,,,3.29,0.1323,25.39,1.67,0.38,0.18
,,,,1.38,0.0088,25.59,1.79,0.05,0.04
,,,,0.99,0.0088,45.68,2.21,0.04,0.02
,,,,0.54,0.0529,8.53,2.08,0.01,0.02
Gold,TEM: 43.3; HD: 82.6,0,,0.44,,0.01,0.09,,
,,,,0.75,,0.19,1.2,,
,,,,1.31,,6.99,1.72,,
,,,,0.74,,0.87,5.85,,
Gold,TEM: 22.6; HD: 39.6,0,,1.12,,0.42,0.17,,
,,,,3.98,,2.96,1.05,,
,,,,0.11,,1.99,0.15,,
,,,,0.24,,2.2,0.4,,
Gold,TEM: 32.5; HD: 61.3,0,,0.05,,0.01,0.02,,
,,,,0.35,,0.06,1.24,,
,,,,0.52,,0.05,2.65,,
,,,,1.29,,22.93,8.14,,
Gold,TEM: 83.5; HD: 99.4,0,,2.1,,0.65,0.53,,
,,,,0.46,,5.55,0.89,,
,,,,0.82,,1.43,8.7,,
,,,,0.02,,5.37,0.71,,
Gold,TEM: 16.6; HD: 22.4,0,,0.01,,0.01,0.33,,
,,,,0.02,,0.14,0.09,,
,,,,0.04,,0.06,0.03,,
,,,,0.01,,0.08,0.02,,
Other-SiO2@AuNR,TEM: 110; HD: 41.8,-0.06,500 mm3 = 0.5 cm3,0.11,0.0563,68.46,5.69,0.56,0.27
,,,,0.83,0.0432,70.47,8.66,0.31,0.25
,,,,0.66,0.0148,70.69,7.34,0.04,0.11
Gold,TEM: 2; HD: 7.2,-23.5,500 mm3 = 0.5 cm3,0.3,0.1994,73.6,3.56,0.33,5.18
,,,,0.6,0.1352,69.13,4.81,0.19,5.43
,,,,0.22,0.0295,46.98,3.94,0.03,2.57
Other-SiO2@AuNR,TEM: 110; HD: 44.3,-14.1,500 mm3 = 0.5 cm3,0.09,0.0648,73.15,5.97,0.63,0.11
,,,,0.45,0.033,77.18,11,0.29,0.07
,,,,0.17,0.0142,74.05,9.78,0.11,0.05
Gold,TEM: 60; HD: 20.2,-20.2,500 mm3 = 0.5 cm3,0.06,0.0773,78.97,6.41,0.4,0.09
,,,,0.28,0.017,74.72,10.66,0.23,0.07
,,,,0.2,0.0091,79.87,8.84,0.14,0.09
Gold,TEM: 3.8; HD: 71.7,6.1,40.5 = 0.041 cm3,0.05,0.1475,34.14,2.5,0.47,0.39
,,,,0.04,0.0431,31.12,1.63,0.28,0.3
,,,,0.02,0.0414,31.45,3.43,0.58,0.48
Gold,HD: 5,,> 0.5 cm3,0.94,0.8258,5.09,0.46,1.32,3.31
,,,,3.5,0.3526,2.97,0.23,0.65,2.98
,,,,3.93,0.3248,4.17,0.28,0.46,6.56
,,,,1.85,0.167,4.03,0.24,0.39,3.35
Gold,HD: 5,,> 0.5 cm3,0.63,0.4484,24.6,2.13,0.86,1.53
,,,,1.85,0.3569,18.68,1.69,0.46,1.92
,,,,2.52,0.1007,22.1,1.9,0.21,2.75
,,,,0.98,0.1281,30.39,2.39,0.13,1.26
Gold,HD: 5,2.5,> 0.5 cm3,0.63,0.4465,23.88,2.04,0.83,1.51
,,,,1.89,0.3895,22.43,1.75,0.45,1.78
,,,,2.46,0.1045,21.2,1.86,0.21,2.68
,,,,0.95,0.1235,29.3,2.32,0.14,1.23
Gold,HD: 22,,> 0.5 cm3,2.05,0.856,30.22,5.53,18.1,2.45
