"Core_Material","Size","Zeta_Potential","Tumor_Size","Time_Point","Tumor","Heart","Liver","Spleen","Lung","Kidney"
"Gold",37.5,-18,"0.1 cm3",6,1.64,0.4174,29.03,2.76,0.27,1.07
"Gold",50,-9.3,"0.175 cm3",24,0.45,0.2638,50.86,2.23,1.11,2.07
"Gold",27.3,-6,"0.3 cm3",0.25,0.14,0.4519,1.23,0.61,0.7,0.3
"Gold",7.8,-21.3,"0.2 cm3",1,1.17,2.2153,21.95,0.98,0.35,2.06
"Gold",7.8,21.7,"0.2 cm3",1,0.5,1.7583,23.46,1.07,0.33,1.71
"Gold",7.8,24.6,"0.2 cm3",1,0.5,1.4097,24.79,0.99,0.16,1.19
"Gold",7.8,25.4,"0.2 cm3",1,0.43,0.8991,29.27,1.18,0.26,1.31
"Gold",56.8,0,"0.1 cm3",1,0.2,0.4734,22.33,0.25,1.25,1.02
"Gold",49.6,0,"0.1 cm3",1,0.12,0.2638,44.86,9.29,0.69,0.61
"Gold",92,0,"0.1 cm3",1,0.15,0.4125,40.87,5.87,0.71,0.92
"Gold",39.2,0,"0.1 cm3",1,0.15,0.2029,43.27,3.69,0.58,0.42
"Gold",2.3,0,"0.18 cm3",1,1.73,0.5769,4.49,0.36,0.88,3.14
"Gold",60.2,-10,"0.1 cm3",6,0.75,0.6258,29.66,2.36,0.61,0.93
"Gold",60.5,-44.1,"0.1 cm3",6,0.28,0.1031,73.31,13.12,0.3,0.42
"Gold",45,1.1,"4.17 cm3",0.5,2.91,0.3427,4.54,0.13,0.27,0.29
"Gold",50,-27.1,"4.17 cm3",0.5,0.92,0.3087,23.11,1.08,0.23,0.55
"Gold",2,-23.5,"0.5 cm3",1,0.3,0.1994,73.6,3.56,0.33,5.18
"Gold",60,-20.2,"0.5 cm3",1,0.06,0.0773,78.97,6.41,0.4,0.09
"Gold",3.8,6.1,"0.041 cm3",3,0.05,0.1475,34.14,2.5,0.47,0.39
"Gold",5,6.1,"0.5 cm3",0.0833,0.94,0.8258,5.09,0.46,1.32,3.31
"Gold",5,6.1,"0.5 cm3",0.0833,0.63,0.4484,24.6,2.13,0.86,1.53
"Gold",5,2.5,"0.5 cm3",0.0833,0.63,0.4465,23.88,2.04,0.83,1.51
"Gold",22,2.5,"0.5 cm3",1,2.05,0.856,30.22,5.53,18.1,2.45
"Gold",22,2.5,"0.5 cm3",1,1.35,0.9795,61.11,9.42,22.35,5.09
"Gold",11,2.5,"0.5 cm3",0.0833,0.67,4.9012,31.92,22.98,1.45,1.38
"Gold",2.7,-18.4,"4.17 cm3",4,3.78,0.0081,0.23,0.04,0.03,0.04
"Gold",2.7,-22.1,"4.17 cm3",4,1.41,0.0035,0.14,0,0.01,0.09
